OTU,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1105:18401:28138__kiwi2020__AG0529-0922__ITS1F,Fungi,Chytridiomycota,Chytridiomycetes,Olpidiales,Olpidiaceae,Olpidium,Olpidium_brassicae|SH214989.06FU
M00598:87:000000000-J7KGW:1:1105:18714:13670__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectriaceae_unidentified,Nectriaceae_sp|SH233672.06FU
M00598:87:000000000-J7KGW:1:1105:18873:21259__kiwi2020__AG0529-1155__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_sp_EXP0542F|SH231140.06FU
M00598:87:000000000-J7KGW:1:1105:19145:19698__kiwi2020__AG0529-0859__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_steynii|SH225572.06FU
M00598:87:000000000-J7KGW:1:1105:19254:26298__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Myrothecium,Myrothecium_sp|SH222580.06FU
M00598:87:000000000-J7KGW:1:1105:19846:18897__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Acremonium,Acremonium_sp|SH220977.06FU
M00598:87:000000000-J7KGW:1:1105:19942:12672__kiwi2020__AG0529-0877__ITS1F,Fungi,Basidiomycota,Exobasidiomycetes,Microstromatales,Microstromataceae,Microstroma,Microstroma_juglandis|SH205711.06FU
M00598:87:000000000-J7KGW:1:1105:19969:10008__kiwi2020__AG0529-0203__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_unidentified,Agaricomycetes_unidentified_1,Agaricomycetes_unidentified_1,Agaricomycetes_sp|SH210627.06FU
M00598:87:000000000-J7KGW:1:1105:20810:13805__kiwi2020__AG0529-0787__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_dakotensis|SH222043.06FU
M00598:87:000000000-J7KGW:1:1105:21520:20885__kiwi2020__AG0529-0923__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1105:21606:17412__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_iizukae|SH236358.06FU
M00598:87:000000000-J7KGW:1:1105:21818:21690__kiwi2020__AG0529-0531__ITS1F,Fungi,Chytridiomycota,Chytridiomycota_unidentified,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1_1,Chytridiomycota_sp|SH233268.06FU
M00598:87:000000000-J7KGW:1:1105:21930:20792__kiwi2020__AG0529-0909__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH235187.06FU
M00598:87:000000000-J7KGW:1:1105:22011:18246__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_rosea_f._catenulata|SH236629.06FU
M00598:87:000000000-J7KGW:1:1105:22180:8776__kiwi2020__AG0529-1156__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Tremella,Tremella_caloplacae|SH223595.06FU
M00598:87:000000000-J7KGW:1:1105:22713:13229__kiwi2020__AG0529-1157__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mucorales,Mucoraceae,Mucor,Mucor_fragilis|SH226013.06FU
M00598:87:000000000-J7KGW:1:1105:23280:11890__kiwi2020__AG0529-0376__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mucorales,Umbelopsidaceae,Umbelopsis,Umbelopsis_sp|SH209701.06FU
M00598:87:000000000-J7KGW:1:1105:23635:19404__kiwi2020__AG0529-0572__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_subversicolor|SH206402.06FU
M00598:87:000000000-J7KGW:1:1105:24217:22358__kiwi2020__AG0529-0913__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_inositophilus|SH219417.06FU
M00598:87:000000000-J7KGW:1:1105:24513:18036__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH224223.06FU
M00598:87:000000000-J7KGW:1:1105:24617:12405__kiwi2020__AG0529-0997__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomycetaceae_unidentified,Saccharomycetaceae_sp|SH239773.06FU
M00598:87:000000000-J7KGW:1:1105:24722:12352__kiwi2020__AG0529-0895__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1105:24728:18053__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Bagadiella,Bagadiella_victoriae|SH230767.06FU
M00598:87:000000000-J7KGW:1:1105:25457:19139__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_crocea|SH229779.06FU
M00598:87:000000000-J7KGW:1:1105:26024:13669__kiwi2020__AG0529-0769__ITS1F,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Knufia,Knufia_perforans|SH209750.06FU
M00598:87:000000000-J7KGW:1:1105:26797:8796__kiwi2020__AG0529-1125__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,Clavulina_rugosa|SH191666.06FU
M00598:87:000000000-J7KGW:1:1105:5170:20312__kiwi2020__AG0529-0531__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Hydnomerulius,Hydnomerulius_pinastri|SH229593.06FU
M00598:87:000000000-J7KGW:1:1105:5277:20543__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH205925.06FU
M00598:87:000000000-J7KGW:1:1105:5535:11895__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectriaceae_unidentified,Nectriaceae_sp|SH235538.06FU
M00598:87:000000000-J7KGW:1:1105:5577:12483__kiwi2020__AG0529-0992__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1105:6490:16795__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH240081.06FU
M00598:87:000000000-J7KGW:1:1105:9006:18630__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_unidentified,Chaetothyriales_unidentified_1,Chaetothyriales_sp|SH225363.06FU
M00598:87:000000000-J7KGW:1:1105:9856:18057__kiwi2020__AG0529-0972__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH232145.06FU
M00598:87:000000000-J7KGW:1:1106:10318:19790__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH208254.06FU
M00598:87:000000000-J7KGW:1:1106:10722:13542__kiwi2020__AG0529-0531__ITS1F,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Pseudallescheria,Pseudallescheria_angusta|SH210193.06FU
M00598:87:000000000-J7KGW:1:1106:11056:11905__kiwi2020__AG0529-0396__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH234185.06FU
M00598:87:000000000-J7KGW:1:1106:11645:18597__kiwi2020__AG0529-0914__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH218046.06FU
M00598:87:000000000-J7KGW:1:1106:11831:10878__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_castellanii|SH221595.06FU
M00598:87:000000000-J7KGW:1:1106:11933:13733__kiwi2020__AG0529-0285__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH240055.06FU
M00598:87:000000000-J7KGW:1:1106:13766:19398__kiwi2020__AG0529-0924__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_unidentified,Tremellales_unidentified_1,Tremellales_sp|SH229402.06FU
M00598:87:000000000-J7KGW:1:1106:13889:6733__kiwi2020__AG0529-1121__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp_FYB_2007a|SH234685.06FU
M00598:87:000000000-J7KGW:1:1106:14342:26372__kiwi2020__AG0529-0859__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria_malawiensis|SH196311.06FU
M00598:87:000000000-J7KGW:1:1106:14543:16739__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_vanillica|SH212311.06FU
M00598:87:000000000-J7KGW:1:1106:14592:26602__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH223834.06FU
M00598:87:000000000-J7KGW:1:1106:14887:12001__kiwi2020__AG0529-1011__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,Parastagonospora_poae|SH207021.06FU
M00598:87:000000000-J7KGW:1:1106:14978:9004__kiwi2020__AG0529-0467__ITS1F,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Incertae_sedis_41,Bannoa,Bannoa_hahajimensis|SH227550.06FU
M00598:87:000000000-J7KGW:1:1106:14989:5389__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH219629.06FU
M00598:87:000000000-J7KGW:1:1106:15035:7802__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Incertae_sedis_25_unidentified,Sporidiobolales_sp|SH228919.06FU
M00598:87:000000000-J7KGW:1:1106:15342:22086__kiwi2020__AG0529-0924__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209361.06FU
M00598:87:000000000-J7KGW:1:1106:15422:14563__kiwi2020__AG0529-0928__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Arnium,Arnium_sp|SH223066.06FU
M00598:87:000000000-J7KGW:1:1106:15678:26639__kiwi2020__AG0529-0875__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH240589.06FU
M00598:87:000000000-J7KGW:1:1106:16169:15678__kiwi2020__AG0529-0877__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH237383.06FU
M00598:87:000000000-J7KGW:1:1106:16172:7719__kiwi2020__AG0529-0581__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH195258.06FU
M00598:87:000000000-J7KGW:1:1106:16293:18211__kiwi2020__AG0529-0072__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,Coniothyrium_sidae|SH196237.06FU
M00598:87:000000000-J7KGW:1:1106:16416:15299__kiwi2020__AG0529-0992__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH193627.06FU
M00598:87:000000000-J7KGW:1:1106:16854:27059__kiwi2020__AG0529-0862__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp|SH204188.06FU
M00598:87:000000000-J7KGW:1:1106:17002:10781__kiwi2020__AG0529-0995__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_unidentified,Hypocreales_unidentified_1,Hypocreales_sp|SH225155.06FU
M00598:87:000000000-J7KGW:1:1106:17129:4034__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Incertae_sedis_46,Wallrothiella,Wallrothiella_sp|SH219660.06FU
M00598:87:000000000-J7KGW:1:1106:17374:14104__kiwi2020__AG0529-1128__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_unidentified,Sordariales_unidentified_1,Sordariales_sp|SH234961.06FU
M00598:87:000000000-J7KGW:1:1106:17383:13858__kiwi2020__AG0529-0913__ITS1F,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,Rhizophydium_sp_PL_AUS_010|SH199228.06FU
M00598:87:000000000-J7KGW:1:1106:17710:27231__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH240074.06FU
M00598:87:000000000-J7KGW:1:1106:17797:12936__kiwi2020__AG0529-0805__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Incertae_sedis_12_unidentified,Tremellales_sp|SH197180.06FU
M00598:87:000000000-J7KGW:1:1106:17972:23317__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleosporaceae_unidentified,Pleosporaceae_sp|SH224807.06FU
M00598:87:000000000-J7KGW:1:1106:18031:24937__kiwi2020__AG0529-0787__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_unidentified,Sordariales_unidentified_1,Sordariales_sp|SH220626.06FU
M00598:87:000000000-J7KGW:1:1106:18069:24680__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_heimaeyensis|SH198057.06FU
M00598:87:000000000-J7KGW:1:1106:18439:3363__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria_fumosorosea|SH228190.06FU
M00598:87:000000000-J7KGW:1:1106:18626:23132__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_brasiliensis|SH202145.06FU
M00598:87:000000000-J7KGW:1:1106:18920:24866__kiwi2020__AG0529-0931__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH217983.06FU
M00598:87:000000000-J7KGW:1:1106:19477:17994__kiwi2020__AG0529-0895__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_amoeboidea|SH211064.06FU
M00598:87:000000000-J7KGW:1:1106:19518:13298__kiwi2020__AG0529-1157__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Tremella,Tremella_sp_BEA_2010|SH222594.06FU
M00598:87:000000000-J7KGW:1:1106:20361:13093__kiwi2020__AG0529-0992__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH229757.06FU
M00598:87:000000000-J7KGW:1:1106:21501:4632__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascaceae_unidentified,Microascaceae_sp|SH195207.06FU
M00598:87:000000000-J7KGW:1:1106:22110:23003__kiwi2020__AG0529-1157__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia_agaves|SH196733.06FU
M00598:87:000000000-J7KGW:1:1106:22124:21197__kiwi2020__AG0529-0850__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_parvulum|SH231351.06FU
M00598:87:000000000-J7KGW:1:1106:22517:8737__kiwi2020__AG0529-1019__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_virgatum|SH201030.06FU
M00598:87:000000000-J7KGW:1:1106:22558:9045__kiwi2020__AG0529-0340__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora_sp_KH00302|SH234611.06FU
M00598:87:000000000-J7KGW:1:1106:23280:22465__kiwi2020__AG0529-0087__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_sedis_11,Candida,Candida_smithsonii|SH216776.06FU
M00598:87:000000000-J7KGW:1:1106:23608:5692__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Rhinocladiella_sp_SH9|SH210138.06FU
M00598:87:000000000-J7KGW:1:1106:23754:14334__kiwi2020__AG0529-0913__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Cryptosporiopsis,Cryptosporiopsis_sp|SH209314.06FU
M00598:87:000000000-J7KGW:1:1106:24167:8846__kiwi2020__AG0529-0919__ITS1F,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina_wiesneri|SH214913.06FU
M00598:87:000000000-J7KGW:1:1106:24329:18775__kiwi2020__AG0529-0087__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH237383.06FU
M00598:87:000000000-J7KGW:1:1106:24642:10165__kiwi2020__AG0529-0285__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Venturiaceae_1,Sympoventuria,Sympoventuria_capensis|SH232275.06FU
M00598:87:000000000-J7KGW:1:1106:24666:23096__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Letendraea,Letendraea_sp|SH203350.06FU
M00598:87:000000000-J7KGW:1:1106:25078:8047__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordariaceae_unidentified,Sordariaceae_sp|SH213057.06FU
M00598:87:000000000-J7KGW:1:1106:25100:16946__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Gliomastix,Gliomastix_masseei|SH219547.06FU
M00598:87:000000000-J7KGW:1:1106:25242:11273__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209267.06FU
M00598:87:000000000-J7KGW:1:1106:25285:9152__kiwi2020__AG0529-0892__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_podzolicus|SH197001.06FU
M00598:87:000000000-J7KGW:1:1106:25624:16921__kiwi2020__AG0529-0883__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Trichocomaceae_unidentified,Trichocomaceae_sp|SH210311.06FU
M00598:87:000000000-J7KGW:1:1106:26221:10901__kiwi2020__AG0529-0911__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp|SH228892.06FU
M00598:87:000000000-J7KGW:1:1106:26733:17203__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Myxotrichaceae,Malbranchea,Malbranchea_gypsea|SH190045.06FU
M00598:87:000000000-J7KGW:1:1106:26859:15400__kiwi2020__AG0529-1127__ITS1F,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Incertae_sedis_41,Erythrobasidium,Erythrobasidium_hasegawianum|SH239324.06FU
M00598:87:000000000-J7KGW:1:1106:27300:19376__kiwi2020__AG0529-0805__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cryptotrichosporon,Cryptotrichosporon_anacardii|SH237343.06FU
M00598:87:000000000-J7KGW:1:1106:28216:12303__kiwi2020__AG0529-0850__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia_xanthorrhoeae|SH189981.06FU
M00598:87:000000000-J7KGW:1:1106:4187:13623__kiwi2020__AG0529-0476__ITS1F,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_furfur|SH190197.06FU
M00598:87:000000000-J7KGW:1:1106:4504:12737__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_sedis_11,Candida,Candida_digboiensis|SH222487.06FU
M00598:87:000000000-J7KGW:1:1106:5855:8607__kiwi2020__AG0529-0397__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Kockovaella,Kockovaella_vietnamensis|SH195544.06FU
M00598:87:000000000-J7KGW:1:1106:7126:14657__kiwi2020__AG0529-1154__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora_puteana|SH206739.06FU
M00598:87:000000000-J7KGW:1:1106:7949:23485__kiwi2020__AG0529-0113__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH192549.06FU
M00598:87:000000000-J7KGW:1:1106:8176:14995__kiwi2020__AG0529-0862__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_lamellibrachiae|SH227552.06FU
M00598:87:000000000-J7KGW:1:1106:8644:21875__kiwi2020__AG0529-0912__ITS1F,Fungi,Glomeromycota,Glomeromycetes,Glomeromycetes_unidentified,Glomeromycetes_unidentified_1,Glomeromycetes_unidentified_1,Glomeromycetes_sp|SH236809.06FU
M00598:87:000000000-J7KGW:1:1106:9271:27609__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH219457.06FU
M00598:87:000000000-J7KGW:1:1106:9798:25660__kiwi2020__AG0529-0085__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia_argillacea|SH213195.06FU
M00598:87:000000000-J7KGW:1:1107:10559:6523__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH223803.06FU
M00598:87:000000000-J7KGW:1:1107:11759:25374__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Ilyonectria,Ilyonectria_sp_LL_2013d|SH201356.06FU
M00598:87:000000000-J7KGW:1:1107:12044:12557__kiwi2020__AG0529-0685__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia_cylindrospora|SH213232.06FU
M00598:87:000000000-J7KGW:1:1107:12355:21492__kiwi2020__AG0529-0656__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp_QMW_2009a|SH209978.06FU
M00598:87:000000000-J7KGW:1:1107:12580:6043__kiwi2020__AG0529-0586__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH225536.06FU
M00598:87:000000000-J7KGW:1:1107:12749:20299__kiwi2020__AG0529-0961__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinales_Group_B,Sebacinales_Group_B_unidentified,Sebacinales_Group_B_sp|SH203727.06FU
M00598:87:000000000-J7KGW:1:1107:13300:4397__kiwi2020__AG0529-0787__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae_sedis_2,Scytalidium,Scytalidium_sp|SH228825.06FU
M00598:87:000000000-J7KGW:1:1107:13620:11789__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium_longisporum|SH196289.06FU
M00598:87:000000000-J7KGW:1:1107:13857:15381__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomiaceae_unidentified,Chaetomiaceae_sp|SH234920.06FU
M00598:87:000000000-J7KGW:1:1107:14249:27654__kiwi2020__AG0529-1128__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_grandispora|SH190491.06FU
M00598:87:000000000-J7KGW:1:1107:14327:3803__kiwi2020__AG0529-0913__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_unidentified,Sordariales_unidentified_1,Sordariales_sp|SH234961.06FU
M00598:87:000000000-J7KGW:1:1107:14515:16252__kiwi2020__AG0529-0120__ITS1F,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturiaceae_unidentified,Venturiaceae_sp|SH195930.06FU
M00598:87:000000000-J7KGW:1:1107:14840:25683__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1107:15246:3451__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_sp_CBS_24865|SH201079.06FU
